2001-04-25,20621,20621,17563,18489,3094940
2001-04-26,17918,18416,17492,17636,1197840
2001-04-27,17280,18204,17066,18062,854340
2001-04-30,17706,18275,17706,18204,803230
2001-05-02,18345,18843,17990,18489,851580
2001-05-03,18631,21262,18417,21262,3525520
2001-05-04,21262,21475,20266,21191,1314760
2001-05-07,21617,21617,20693,21120,977780
2001-05-08,20621,22114,20550,20978,569580
2001-05-09,20480,21048,20480,20764,384160
2001-05-10,20763,21403,20407,20836,488110
2001-05-11,20977,21546,20906,21191,587790
2001-05-14,21333,21475,20906,21120,242770
2001-05-15,21475,21475,20764,21120,257460
2001-05-16,20977,21120,20124,20622,613630
2001-05-17,21119,22327,20763,22258,1695490
2001-05-18,23182,25528,22968,24960,2393500
2001-05-21,26310,26310,24887,25956,1283130
2001-05-22,25954,26167,25101,25316,750020
2001-05-23,25883,26950,25456,26169,718120
2001-05-24,25600,26595,25315,26453,311830
2001-05-25,26880,27591,26453,27093,475520
2001-05-28,27022,27235,26524,27022,318730
2001-05-29,26453,26880,26097,26880,401790
2001-05-30,26453,27733,26311,27520,464750
2001-05-31,26310,26950,26238,26596,413890
2001-06-01,26737,26880,25173,25173,381340
2001-06-04,24461,25456,24176,24747,383570
2001-06-05,25030,25385,24745,24747,602130
2001-06-07,24745,25172,23963,24036,434610
2001-06-08,24176,25954,24034,25956,457780
2001-06-11,25314,26239,25030,26169,201760
2001-06-12,26026,26026,25600,25813,92040
2001-06-13,25812,26310,25314,25316,173600
2001-06-14,25173,25884,25031,25884,286680
2001-06-15,25456,25527,24674,25529,214990
2001-06-18,24887,25527,24816,25316,130650
2001-06-19,24960,25031,24106,24604,393790
2001-06-20,23892,24319,23679,24036,212080
2001-06-21,23607,23963,22754,23609,596900
2001-06-22,23323,24816,23323,24178,381200
2001-06-25,23536,24887,23536,24747,319530
2001-06-26,24745,25385,24176,25316,358010
2001-06-27,25315,25600,24675,25600,170960
2001-06-28,25314,25599,24674,24818,216140
2001-06-29,25031,25244,24462,24604,450970
2001-07-02,24533,24960,24462,24533,151680
2001-07-03,24603,24745,24319,24676,298710
2001-07-04,24320,24604,23964,24604,199000
2001-07-05,23963,24461,23963,24178,181250
2001-07-06,23679,24176,23679,24036,210850
2001-07-09,23751,23822,22471,23040,536740
2001-07-10,23182,23253,22328,22542,280310
2001-07-11,22044,23040,21404,22613,624470
2001-07-12,23039,23679,23039,23609,372000
2001-07-13,23607,23963,22612,23609,328090
2001-07-16,22897,23466,22826,23111,194520
2001-07-18,22541,23039,21616,22756,502080
2001-07-19,21831,22328,21760,22044,117500
2001-07-20,22044,22755,21973,22044,271140
2001-07-23,21545,22043,21403,21618,136980
2001-07-24,21475,21475,20124,20764,333950
2001-07-25,19911,20906,19911,20764,189010
2001-07-26,20906,20906,20266,20764,241270
2001-07-27,20976,21687,20834,21476,267560
2001-07-30,21047,21047,20763,20907,65660
2001-07-31,20408,20764,20266,20622,351100
2001-08-01,20621,21261,20407,21049,574350
2001-08-02,21261,21261,20407,20409,386170
2001-08-03,20480,22186,20480,21831,901040
2001-08-06,21333,21973,21333,21831,242990
2001-08-07,21333,21831,21333,21831,173010
2001-08-08,22043,22541,21901,22258,547240
2001-08-09,21760,22257,21120,21191,317110
2001-08-10,21332,21474,20905,21049,151480
2001-08-13,21119,21830,20834,21689,435870
2001-08-14,21760,22542,21688,22471,436100
2001-08-16,22185,23750,21901,22969,572860
2001-08-17,23111,23822,22968,23751,750110
2001-08-20,23323,23323,22754,22898,164060
2001-08-21,22755,23324,22684,23040,154860
2001-08-22,23039,23181,22683,22898,138040
2001-08-23,23111,23324,22826,23182,132710
2001-08-24,23466,23466,22684,23040,93410
2001-08-27,23324,23964,22897,23751,222180
2001-08-28,23751,23893,23466,23751,131150
2001-08-29,23181,23750,23110,23467,137840
2001-08-30,23323,23607,23181,23467,179890
2001-08-31,23323,23607,22612,22756,498290
2001-09-03,22754,22967,22185,22969,406160
2001-09-04,23750,23750,22470,22969,365750
2001-09-05,22755,23537,22755,23324,121740
2001-09-06,23182,23537,22471,22613,301050
2001-09-07,22755,23182,22400,23182,70580
2001-09-10,22755,22897,22471,22471,108480
2001-09-11,22755,23537,22542,22542,306000
2001-09-12,19200,20622,19200,19200,500560
2001-09-13,19200,20977,19200,20764,248260
2001-09-14,20622,20764,20053,20622,221000
2001-09-17,20622,21333,19484,21333,144790
2001-09-18,21333,21617,20977,21333,159140
2001-09-19,21333,21333,20764,21191,64680
2001-09-20,20622,20835,20266,20622,162590
2001-09-21,20195,20622,19982,20622,139670
2001-09-24,20123,20407,19910,20409,85330
2001-09-25,20551,20622,19484,19484,248840
2001-09-26,19483,19696,19341,19556,103070
2001-09-27,19271,19555,19271,19484,192150
2001-09-28,19555,20124,19555,19911,218920
2001-10-04,20622,20622,20195,20480,231610
2001-10-05,20763,20763,20194,20409,282750
2001-10-08,20407,20407,20194,20196,70960
2001-10-09,20337,20835,19768,20764,193250
2001-10-10,21047,21190,20621,20836,74870
2001-10-11,21191,21404,20906,21262,211180
2001-10-12,21048,21617,20977,21120,141410
2001-10-15,20693,21191,20480,21120,228520
2001-10-16,21261,21830,21190,21689,356710
2001-10-17,22044,22826,21688,22613,608920
2001-10-18,22613,23466,21760,23040,495120
2001-10-19,23039,23039,22470,22969,421590
2001-10-22,23465,23679,22683,23538,409330
2001-10-23,23324,24035,22897,23040,511650
2001-10-24,22256,24319,22256,24036,589270
2001-10-25,24533,24604,23253,23253,104260
2001-10-26,23252,23536,22825,22827,107720
2001-10-29,22897,23324,22328,22542,153320
2001-10-30,22186,22755,22186,22542,101330
2001-10-31,22754,22754,22327,22756,207420
2001-11-01,22542,23040,22542,23040,79820
2001-11-02,23040,23111,22613,22684,142570
2001-11-05,22754,22896,22327,22756,211920
2001-11-06,23040,23111,22400,22400,409700
2001-11-07,22400,22826,22400,22400,168390
2001-11-08,22471,23182,22400,23111,318430
2001-11-09,23394,24105,23039,23609,492240
2001-11-12,24320,24746,23964,24462,431250
2001-11-13,24461,25385,24247,25316,422670
2001-11-14,25314,25599,24532,24889,564470
2001-11-15,24888,25884,24462,25600,490870
2001-11-16,25742,25884,24462,25102,646300
2001-11-19,24320,25244,24320,24604,518170
2001-11-20,24888,26737,24888,25600,1145790
2001-11-21,25599,26096,25030,25458,529760
2001-11-22,25457,26382,25173,25884,359150
2001-11-23,26240,27875,25884,27520,742020
2001-11-26,28301,30576,28159,30009,1467810
2001-11-27,30008,30222,28871,29582,817710
2001-11-28,29582,29582,27164,28444,781900
2001-11-29,27305,28585,26665,28516,868100
2001-11-30,28515,31288,28160,30862,988380
2001-12-03,31146,31502,30435,31431,427410
2001-12-04,30576,31003,29439,29867,511740
2001-12-05,30577,31075,29724,30720,793060
2001-12-06,31643,33065,31003,31289,1404450
2001-12-07,31288,32853,30862,32853,592660
2001-12-10,32283,32567,29439,30507,492280
2001-12-11,30363,31216,29723,30436,404410
2001-12-12,29013,30791,29013,30364,416400
2001-12-13,30506,32284,29866,32284,515580
2001-12-14,32142,32284,31217,32142,430360
2001-12-17,30790,31714,29936,30436,332930
2001-12-18,30648,31146,29155,29440,353580
2001-12-19,29865,30576,28159,28516,516900
2001-12-20,28727,29652,28656,29298,288490
2001-12-21,28160,29084,28160,28444,230640
2001-12-24,28727,30007,28443,29369,200270
2001-12-26,28657,29368,28657,29013,261400
2001-12-27,29154,30150,28727,29867,343600
2001-12-28,30293,31288,30293,30933,315330
2002-01-02,30932,31572,30434,31289,326671
2002-01-03,31786,33422,30933,33422,548001
2002-01-04,33421,35767,33136,35556,702005
2002-01-07,35982,36266,34560,35200,469229
2002-01-08,34843,35767,34345,34987,271175
2002-01-09,34417,35271,33848,34844,300154
2002-01-10,34843,37403,34416,35698,270469
2002-01-11,35696,35767,34701,35769,292010
2002-01-14,35981,36123,33990,34916,324563
2002-01-15,34274,35412,32781,33209,347400
2002-01-16,32711,33208,31786,32142,698320
2002-01-17,32142,33422,32000,33422,330300
2002-01-18,33777,34844,33564,34133,249861
2002-01-21,33705,34487,32994,34489,114050
2002-01-22,35056,37261,35056,36836,874976
2002-01-23,36551,40675,36408,40391,1130582
2002-01-24,40390,42381,39963,40747,925721
2002-01-25,41954,42310,40532,40818,726899
2002-01-28,42666,46648,41386,45013,935206
2002-01-29,45013,45511,42524,43733,529956
2002-01-30,42807,43447,40034,40676,610061
2002-01-31,41884,43377,41386,42382,527502
2002-02-01,42452,44585,41954,42027,446539
2002-02-04,43235,43804,40248,40960,344061
2002-02-05,39964,41031,39893,41031,489540
2002-02-06,41244,42880,41244,42453,561460
2002-02-07,43234,43234,42381,42667,485240
2002-02-08,41954,42736,41527,42169,319785
2002-02-14,43092,45367,42452,45156,672281
2002-02-15,44443,47714,44443,47716,426817
2002-02-18,47216,50487,47003,50489,460870
2002-02-19,50061,50487,47430,47716,563373
2002-02-20,46932,48710,46079,47289,548591
2002-02-21,49066,49208,46720,47644,326487
2002-02-22,45652,49350,45652,49209,289900
2002-02-25,50844,52906,50488,51200,713693
2002-02-26,53760,56888,52764,53760,890728
2002-02-27,54044,55040,53048,54044,612746
2002-02-28,54754,54754,52905,52907,677815
2002-03-04,53617,55039,51911,51911,1001763
2002-03-05,52622,54044,51128,51484,756145
2002-03-06,52622,54897,52480,54044,992984
2002-03-07,54471,56533,54044,54044,811568
2002-03-08,54043,54470,52052,54187,594337
2002-03-11,54186,56320,53333,56320,334819
2002-03-12,56888,60942,56746,60942,709260
2002-03-13,60160,60871,58240,59662,651652
2002-03-14,59661,60159,57456,59307,633500
2002-03-15,59092,59092,57954,58098,862095
2002-03-18,61083,61154,58807,59876,605489
2002-03-19,60160,62862,59875,60444,754891
2002-03-20,60443,60443,58381,58738,631330
2002-03-21,57101,59732,57101,58169,344491
2002-03-22,59448,60373,49493,49493,587883
2002-03-25,56887,56887,56887,56889,241779
2002-03-26,57600,59448,57457,58880,1006531
2002-03-27,59448,61866,58311,61440,723934
2002-03-28,62577,64071,60586,62151,643912
2002-03-29,61866,63360,60515,62151,315311
2002-04-01,61865,62150,60016,60729,333439
2002-04-02,60728,64924,59946,64711,756917
2002-04-03,64568,72533,64142,71111,1361716
2002-04-04,71111,74951,68408,70400,1053363
2002-04-08,70684,70684,64995,66133,1247524
2002-04-09,65492,66203,63501,63716,581407
2002-04-10,61865,63145,57883,59449,992485
2002-04-11,59448,61582,58595,60302,1143597
2002-04-12,59022,61368,58737,60871,443863
2002-04-15,58879,62861,58879,62578,609324
2002-04-16,62862,64853,62293,64142,456938
2002-04-17,67057,69760,66417,67911,993838
2002-04-18,67554,70754,67270,68409,714537
2002-04-19,70257,75946,70186,75093,1846433
2002-04-22,75520,76088,69546,71253,958897
2002-04-23,71821,73954,69687,72818,507684
2002-04-24,71679,72816,62007,62009,2806151
2002-04-25,58310,59732,52763,56747,3799061
2002-04-26,59021,61154,55750,61156,2206544
2002-04-29,59448,60586,55892,59520,1217670
2002-04-30,58025,58665,54470,55609,1275715
2002-05-02,56177,57173,54115,56320,1286882
2002-05-03,54755,57955,54613,57742,657536
2002-05-06,56177,57244,55182,55253,472685
2002-05-07,54185,54896,52834,54898,800866
2002-05-08,56176,57385,55679,56889,597744
2002-05-09,58026,59022,55751,57031,621664
2002-05-10,56176,56887,54967,55467,402360
2002-05-13,53332,55465,53332,54329,269426
2002-05-14,54754,55465,51625,52907,694655
2002-05-15,54044,57457,53546,57031,886080
2002-05-16,57031,57386,56248,56960,462070
2002-05-17,58097,58880,57600,58311,515804
2002-05-20,58311,60515,57813,59164,377680
2002-05-21,57314,58736,56887,56889,282526
2002-05-22,56888,57173,54968,57173,468797
2002-05-23,55893,57600,55893,56604,247790
2002-05-24,56177,57884,56177,57031,258840
2002-05-27,56603,57599,56603,56889,157884
2002-05-28,57172,57741,56603,57458,158646
2002-05-29,57172,59092,56745,58667,775167
2002-05-30,57599,59305,56319,56889,733711
2002-05-31,57883,58665,56176,56747,468011
2002-06-03,56320,58311,55608,58311,313318
2002-06-04,56319,61723,56319,61369,593121
2002-06-05,62577,65706,62293,64000,1343277
2002-06-07,62861,64496,61865,64356,626920
2002-06-10,67555,68408,66275,68053,752753
2002-06-11,68053,68906,66417,68124,637952
2002-06-12,66844,67982,65137,67271,866170
2002-06-14,64711,65991,61440,61724,1059778
2002-06-17,61724,63146,60942,62364,477175
2002-06-18,63288,63573,61582,61582,322876
2002-06-19,60017,61013,57315,59093,584977
2002-06-20,57955,58737,57031,58311,494720
2002-06-21,57671,61155,57173,59022,451169
2002-06-24,59093,60160,56604,59804,463833
2002-06-25,61581,63359,59945,59947,1092579
2002-06-26,59022,59022,53831,55253,515831
2002-06-27,56887,58665,56247,58667,526389
2002-06-28,59732,61865,59305,61867,402600
2002-07-02,59306,61084,59164,60231,317593
2002-07-03,59733,61440,58311,59733,271030
2002-07-04,60586,61937,59946,61582,459530
2002-07-05,62008,67413,61866,65493,1125758
2002-07-08,67128,68551,66844,66844,743340
2002-07-09,66844,67413,64426,67413,707356
2002-07-10,66844,68551,66133,67840,585200
2002-07-11,66844,68693,65848,67413,558479
2002-07-12,67697,71111,66560,70613,673820
2002-07-15,70613,72391,68124,68124,746773
2002-07-16,68124,69546,65137,65564,399325
2002-07-18,67128,67697,63360,66133,1108090
2002-07-19,66133,68480,65066,67484,1026304
2002-07-22,63288,65280,61013,61724,873651
2002-07-23,60586,63146,60586,62933,499532
2002-07-24,62293,63573,58880,61724,712216
2002-07-25,64000,64711,61511,61511,526961
2002-07-26,60443,61510,57741,58738,585570
2002-07-29,59022,59875,58026,58880,343738
2002-07-30,60302,62080,60302,62080,642843
2002-07-31,62505,63003,61581,61867,432680
2002-08-01,60656,61581,59661,60516,332961
2002-08-02,59448,59591,58524,59591,191147
2002-08-05,59021,59447,54967,55467,444018
2002-08-06,56603,56745,53759,56178,3703836
2002-08-07,56887,57456,54612,55467,376796
2002-08-08,56176,57385,55750,56676,382418
2002-08-09,56888,57742,55893,56604,298297
2002-08-12,56176,57456,55323,56178,171191
2002-08-13,55608,58453,55608,58453,364400
2002-08-14,57031,60444,56888,59520,379666
2002-08-16,60088,60444,57315,58382,1492727
2002-08-19,58382,58880,57386,57671,683670
2002-08-20,59021,59874,58594,59876,513718
2002-08-21,60302,62293,59164,62151,335599
2002-08-22,62577,63146,61866,62720,491011
2002-08-23,63003,63145,61581,62649,240411
2002-08-26,62151,62435,60800,62293,123910
2002-08-27,62150,62505,61225,62436,161750
2002-08-28,61154,62221,61154,62009,308550
2002-08-29,60870,61581,59661,61156,301336
2002-08-30,61296,62079,59945,61867,439304
2002-09-02,62007,63856,62007,63858,462932
2002-09-03,64354,64567,62292,62436,293437
2002-09-04,60585,61296,59874,61298,299699
2002-09-05,61440,61724,60160,60800,358674
2002-09-06,59946,60302,58311,59733,1413654
2002-09-09,58310,59590,57599,58027,205360
2002-09-10,57031,59733,57031,59733,213150
2002-09-11,59732,60514,59234,60018,227200
2002-09-12,59021,60585,59021,60516,322534
2002-09-13,58594,59732,57741,58027,277087
2002-09-16,58595,58666,56391,56604,245602
2002-09-17,58310,58736,57243,58738,319210
2002-09-18,56176,56887,54327,54756,838874
2002-09-19,54044,55182,51342,53333,873174
2002-09-23,50487,51199,48141,49067,992018
2002-09-24,47643,48212,46079,47076,1032625
2002-09-25,45724,46791,43875,45511,1696352
2002-09-26,47075,48213,45866,46080,1116544
2002-09-27,46364,48213,45297,47644,738263
2002-09-30,45937,46648,45368,46222,304180
2002-10-01,45510,48354,45510,48356,506985
2002-10-02,49777,50062,47502,47573,493739
2002-10-04,47644,49777,47573,49564,465578
2002-10-07,49492,49492,46434,46649,289179
2002-10-08,46221,47216,44230,45867,642428
2002-10-09,46222,46222,43520,43520,420314
2002-10-10,41813,42240,39964,40462,833140
2002-10-11,41386,42666,39537,40391,680840
2002-10-14,42381,44941,41670,43876,574408
2002-10-15,44088,46720,43733,46080,714420
2002-10-16,46506,47573,45511,47004,646208
2002-10-17,47004,49208,46435,48782,475710
2002-10-18,50204,53333,49564,52053,530361
2002-10-21,51199,52479,49847,50347,256754
2002-10-22,51199,51199,47359,48356,379515
2002-10-23,47644,49635,46008,49493,815140
2002-10-24,49493,51057,47786,49493,696824
2002-10-25,48781,50914,48354,50489,467040
2002-10-28,52336,53759,50985,53618,831543
2002-10-29,53759,55679,53047,53547,1034753
2002-10-30,54683,54683,51199,52338,556495
2002-10-31,53332,53616,50914,51769,533061
2002-11-01,51199,51767,50345,50418,290070
2002-11-04,51342,54044,51271,53760,449772
2002-11-05,54327,55252,52905,53689,590377
2002-11-06,55465,56816,54185,56818,486951
2002-11-07,55466,57955,55324,56320,443580
2002-11-08,55892,57314,54541,56747,417409
2002-11-11,56319,56319,54327,55396,255980
2002-11-12,54044,56533,53760,55893,647641
